id,日付,営業担当,本文
1,2026-07-01,佐藤,株式会社山田製作所の田中様を訪問し、勤怠管理システム「タイムキーパーPro」をデモ。現在ジョブカンを利用中だが月額費用に不満がある様子。反応は良好で、来週見積もりを提出することになった。
2,2026-07-01,鈴木,ミドリ食品株式会社にて受発注システム「オーダーリンク」の提案2回目。先方の情報システム部長より、freeeとの比較資料を求められた。導入時期は未定だが前向きに検討いただけるとのこと。
3,2026-07-02,佐藤,カブシキ電機の購買部を訪問。名刺交換のみで具体的な商談には至らず。次回、部長同席のうえで改めて説明の機会をいただく予定。
4,2026-07-02,高橋,株式会社ホシノ物流に「タイムキーパーPro」を提案したが、既にKING OF TIMEを昨年導入済みで乗り換えの予定はないとのこと。今回は失注。担当者の対応はやや冷ややかだった。
5,2026-07-03,鈴木,アオゾラ商事株式会社との商談。経費精算システム「ケイヒらくらく」のトライアル利用に合意いただいた。競合の話は特に出なかった。担当の井上様は操作の簡単さを高く評価してくださった。
6,2026-07-03,高橋,タカダ建設を訪問予定だったが、先方都合でリスケとなった。移動中に電話でアポイントを再調整し、来週火曜に変更。
7,2026-07-04,佐藤,株式会社マルワ薬品にて「オーダーリンク」の最終プレゼン。サイボウズのキントーンで内製する案と比較されていたが、保守サポート体制が決め手となり正式に受注！先方も導入を楽しみにしていると嬉しいお言葉をいただいた。
8,2026-07-04,鈴木,フジイ精密工業へ定期フォロー訪問。既存導入済みの「タイムキーパーPro」の運用相談のみで新規商談はなし。操作で困っている点があり、やや不満げな様子だったためサポート部門へ引き継いだ。
9,2026-07-07,高橋,株式会社ナカムラ商店に経費精算システム「ケイヒらくらく」を初回提案。マネーフォワードとコンカーも検討中とのことで、機能比較表の提出を依頼された。結論は来月以降になりそう。手応えは五分五分。
10,2026-07-07,佐藤,イシカワ運輸株式会社を訪問。当初は「オーダーリンク」の予定だったが、話の流れで勤怠管理の課題が判明し「タイムキーパーPro」も併せて紹介。両製品とも興味を持っていただき、次回デモ実施が決定。良い雰囲気だった。
