order_id,order_date,customer_id,category,product,quantity,unit_price
O0001,2026-04-01,C002,キッチン雑貨,マグカップ,3,1200
O0002,2026-04-01,C005,文房具,万年筆,1,3500
O0003,2026-04-03,C002,ファッション小物,シルクスカーフ,3,3800
O0004,2026-04-03,C009,キッチン雑貨,木製カッティングボード,2,2800
O0005,2026-04-04,C001,キッチン雑貨,マグカップ,1,1200
O0006,2026-04-07,C010,キッチン雑貨,マグカップ,2,1200
O0007,2026-04-09,C011,ファッション小物,折りたたみ傘,2,1500
O0008,2026-04-09,C007,文房具,万年筆,2,3500
O0009,2026-04-10,C005,アウトドア,保温ボトル,1,2200
O0010,2026-04-12,C007,文房具,クリアファイル5枚組,1,380
O0011,2026-04-12,C003,文房具,万年筆,1,3500
O0012,2026-04-15,C002,文房具,クリアファイル5枚組,1,380
O0013,2026-04-16,C005,アウトドア,保温ボトル,1,2200
O0014,2026-04-17,C008,インテリア,卓上時計,1,2300
O0015,2026-04-17,C007,キッチン雑貨,木製カッティングボード,2,2800
O0016,2026-04-18,C011,ファッション小物,レザーキーケース,1,2600
O0017,2026-04-19,C004,ファッション小物,折りたたみ傘,1,1500
O0018,2026-04-21,C004,アウトドア,保温ボトル,1,2200
O0019,2026-04-21,C002,アウトドア,折りたたみチェア,1,3200
O0020,2026-04-23,C005,インテリア,フォトフレーム,3,1600
