order_id,order_date,customer_id,category,product,quantity,unit_price
O0001,2026-04-01,C002,キッチン雑貨,マグカップ,3,1200
O0002,2026-04-01,C005,文房具,万年筆,1,3500
O0003,2026-04-03,C002,ファッション小物,シルクスカーフ,3,3800
O0004,2026-04-03,C009,キッチン雑貨,木製カッティングボード,2,2800
O0005,2026-04-04,C001,キッチン雑貨,マグカップ,1,1200
O0006,2026-04-07,C010,キッチン雑貨,マグカップ,2,1200
O0007,2026-04-09,C011,ファッション小物,折りたたみ傘,2,1500
O0008,2026-04-09,C007,文房具,万年筆,2,3500
O0009,2026-04-10,C005,アウトドア,保温ボトル,1,2200
O0010,2026-04-12,C007,文房具,クリアファイル5枚組,1,380
O0011,2026-04-12,C003,文房具,万年筆,1,3500
O0012,2026-04-15,C002,文房具,クリアファイル5枚組,1,380
O0013,2026-04-16,C005,アウトドア,保温ボトル,1,2200
O0014,2026-04-17,C008,インテリア,卓上時計,1,2300
O0015,2026-04-17,C007,キッチン雑貨,木製カッティングボード,2,2800
O0016,2026-04-18,C011,ファッション小物,レザーキーケース,1,2600
O0017,2026-04-19,C004,ファッション小物,折りたたみ傘,1,1500
O0018,2026-04-21,C004,アウトドア,保温ボトル,1,2200
O0019,2026-04-21,C002,アウトドア,折りたたみチェア,1,3200
O0020,2026-04-23,C005,インテリア,フォトフレーム,3,1600
O0021,2026-04-24,C003,文房具,クリアファイル5枚組,1,380
O0022,2026-04-26,C005,ファッション小物,折りたたみ傘,3,1500
O0023,2026-04-26,C011,キッチン雑貨,木製カッティングボード,2,2800
O0024,2026-04-27,C003,インテリア,卓上時計,3,2300
O0025,2026-04-27,C004,キッチン雑貨,保存容器セット,2,1980
O0026,2026-04-28,C005,アウトドア,LEDランタン,3,2900
O0027,2026-04-29,C009,文房具,万年筆,3,3500
O0028,2026-04-29,C006,アウトドア,折りたたみチェア,1,3200
O0029,2026-05-02,C007,文房具,方眼ノート,1,450
O0030,2026-05-04,C012,文房具,クリアファイル5枚組,1,380
O0031,2026-05-05,C008,インテリア,アロマディフューザー,3,4200
O0032,2026-05-05,C008,キッチン雑貨,保存容器セット,1,1980
O0033,2026-05-08,C009,インテリア,卓上時計,1,2300
O0034,2026-05-08,C012,ファッション小物,レザーキーケース,2,2600
O0035,2026-05-09,C007,文房具,クリアファイル5枚組,1,380
O0036,2026-05-11,C008,キッチン雑貨,木製カッティングボード,1,2800
O0037,2026-05-14,C003,アウトドア,保温ボトル,3,2200
O0038,2026-05-14,C007,ファッション小物,レザーキーケース,1,2600
O0039,2026-05-15,C007,ファッション小物,レザーキーケース,2,2600
O0040,2026-05-16,C005,インテリア,卓上時計,1,2300
O0041,2026-05-17,C012,キッチン雑貨,木製カッティングボード,3,2800
O0042,2026-05-17,C009,アウトドア,保温ボトル,1,2200
O0043,2026-05-18,C006,キッチン雑貨,木製カッティングボード,1,2800
O0044,2026-05-18,C007,キッチン雑貨,保存容器セット,2,1980
O0045,2026-05-20,C012,文房具,方眼ノート,2,450
O0046,2026-05-20,C003,インテリア,卓上時計,1,2300
O0047,2026-05-21,C005,アウトドア,折りたたみチェア,3,3200
O0048,2026-05-21,C009,ファッション小物,レザーキーケース,1,2600
O0049,2026-05-23,C003,インテリア,卓上時計,2,2300
O0050,2026-05-25,C006,インテリア,フォトフレーム,1,1600
O0051,2026-05-27,C005,文房具,万年筆,1,3500
O0052,2026-05-29,C002,キッチン雑貨,木製カッティングボード,3,2800
O0053,2026-05-30,C002,アウトドア,保温ボトル,2,2200
O0054,2026-06-02,C008,インテリア,卓上時計,1,2300
O0055,2026-06-02,C005,インテリア,卓上時計,2,2300
O0056,2026-06-03,C004,アウトドア,LEDランタン,2,2900
O0057,2026-06-04,C012,文房具,万年筆,3,3500
O0058,2026-06-04,C005,インテリア,アロマディフューザー,3,4200
O0059,2026-06-05,C006,インテリア,フォトフレーム,2,1600
O0060,2026-06-05,C008,キッチン雑貨,木製カッティングボード,1,2800
O0061,2026-06-08,C001,ファッション小物,レザーキーケース,2,2600
O0062,2026-06-10,C004,キッチン雑貨,マグカップ,1,1200
O0063,2026-06-11,C011,キッチン雑貨,マグカップ,1,1200
O0064,2026-06-11,C002,アウトドア,LEDランタン,1,2900
O0065,2026-06-12,C002,インテリア,卓上時計,1,2300
O0066,2026-06-13,C011,インテリア,フォトフレーム,1,1600
O0067,2026-06-14,C003,ファッション小物,折りたたみ傘,2,1500
O0068,2026-06-15,C008,文房具,万年筆,2,3500
O0069,2026-06-16,C004,キッチン雑貨,木製カッティングボード,1,2800
O0070,2026-06-17,C007,文房具,クリアファイル5枚組,2,380
O0071,2026-06-17,C007,インテリア,フォトフレーム,3,1600
O0072,2026-06-19,C011,ファッション小物,シルクスカーフ,1,3800
O0073,2026-06-19,C001,インテリア,アロマディフューザー,3,4200
O0074,2026-06-20,C002,文房具,万年筆,1,3500
O0075,2026-06-22,C008,キッチン雑貨,保存容器セット,2,1980
O0076,2026-06-24,C008,文房具,万年筆,1,3500
O0077,2026-06-25,C009,キッチン雑貨,木製カッティングボード,1,2800
O0078,2026-06-26,C009,アウトドア,折りたたみチェア,1,3200
O0079,2026-06-26,C002,アウトドア,LEDランタン,1,2900
O0080,2026-06-28,C008,インテリア,フォトフレーム,1,1600
O0081,2026-06-29,C001,キッチン雑貨,保存容器セット,2,1980
