order_id,order_date,customer_id,category,product,quantity,unit_price
O0021,2026-04-24,C003,文房具,クリアファイル5枚組,1,380
O0022,2026-04-26,C005,ファッション小物,折りたたみ傘,3,1500
O0023,2026-04-26,C011,キッチン雑貨,木製カッティングボード,,2800
O0024,2026-04-27,C003,インテリア,卓上時計,3,2300
O0025,2026-04-27,C004,キッチン雑貨,保存容器セット,2,1980
O0026,2026-04-28,C005,アウトドア,LEDランタン,3,
O0027,2026-04-29,C009,文房具,万年筆,3,3500
O0028,2026-04-29,,アウトドア,折りたたみチェア,1,3200
O0029,2026-05-02,C007,文房具,方眼ノート,1,450
O0030,2026-05-04,C012,文房具,クリアファイル5枚組,,380
O0031,2026-05-05,C008,インテリア,アロマディフューザー,3,4200
O0032,2026-05-05,C008,キッチン雑貨,保存容器セット,1,1980
O0033,2026-05-08,C009,インテリア,卓上時計,1,2300
O0034,2026-05-08,C012,ファッション小物,レザーキーケース,2,2600
O0035,2026-05-09,C007,文房具,クリアファイル5枚組,1,380
O0021,2026-04-24,C003,文房具,クリアファイル5枚組,1,380
